,restaurant_id,names,restaurant_type,address,latitude,longitude,num_of_reviews,rating,zip_code
90,dpCSDy9uefOEcY44FHss2Q,Hyo Dong Gak,chinese,51 W 35th St,40.7501219,-73.9862269,422,3.5,10001
91,jWuUibgnTGsJibOrr6UUSw,Haidilao Hotpot Flushing,chinese,138-23 39th Ave,40.76099,-73.827853,1600,5.0,11354
92,kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao,chinese,39-16 Prince St,40.75924,-73.8326,3983,4.0,11354
93,fWX7sIzv_WTgZXdSwxYBPg,Yong Kang Street,chinese,888 6th Ave,40.748187,-73.988737,137,4.0,10001
94,RTFIMX31BPeZzx7kJJ1SCA,RedFarm,chinese,529 Hudson St,40.7342,-74.00652,698,3.5,10014
95,SMImQM_JfZkIZwflTgOAoQ,Yi Ji Shi Mo Noodle Corp,chinese,88 Elizabeth St,40.71824,-73.99583,200,4.5,10013
96,U74_3F7r3tMhd6dmTmDBxQ,Macao Trading Company,chinese,311 Church St,40.719623,-74.003904,789,4.0,10013
97,Ej-hrhc8HFWfijN4X5akOg,Dim Sum Palace,chinese,33 W 33rd St,40.7486498128575,-73.98684828079797,149,4.0,10001
98,RkcQl4uEJWblWf4xX8ssqQ,Wa Jeal Sichuan Chili House,chinese,1588 2nd Ave,40.77536,-73.95317,422,3.5,10028
99,iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,chinese,191 Grand St,40.71442,-73.960441,459,4.0,11211
100,Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,chinese,112 1st Ave,40.72669,-73.98563,236,4.0,10009
101,6kCo3xb87Sc3Aa5ZSWzNnw,Kung Fu Kitchen,chinese,610 8th Ave,40.7555654203146,-73.9907654374838,437,3.5,10018
102,kWJF8L1u5jdlkLBItUu16w,Bo Ky Restaurant,chinese,80 Bayard St,40.71579,-73.99867,825,3.5,10013
103,TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,chinese,920 Amsterdam Ave,40.80006,-73.96639,247,4.5,10025
104,fa5a7jksUak7yleWLWMigg,Joe’s Steam Rice Roll,chinese,261 Canal St,40.7190194496717,-74.0008207038045,378,4.0,10013
105,3oB2_2vpeIyxJt1GvlcZBA,Baodega,chinese,7 W 20th St,40.74014,-73.99178,228,4.0,10011
106,hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,chinese,65 Bayard St,40.715433714742154,-73.9981186386701,433,4.0,10013
107,JaKLZrh1Y_2qB_0Gc3bk3A,Ollie's Sichuan,chinese,411 W 42nd St,40.75884,-73.99319,549,3.5,10036
108,1Duix1fA6zcJGdYAmBPkmw,Dumpling Man,chinese,100 Saint Marks Pl,40.727171,-73.9847508,851,3.5,10009
109,EFihj7vsRRXiF5la-UURyw,Hop Kee,chinese,21 Mott St,40.714458,-73.998889,825,3.5,10013
110,UiBQ8Uyu4wfOtEM1Rr8ycA,Shanghai Asian Cuisine,chinese,14A Elizabeth St,40.7159077,-73.997383,549,4.0,10013
111,R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,chinese,1049 2nd Ave,40.75831,-73.96636,260,3.5,10022
112,f_vDVYSk-VUnlGTvgtBwkQ,Noodlecraft,chinese,10-39 47th Rd,40.74471,-73.95182,77,4.5,11101
113,XkL6fOBtaIqVCMXVCY9row,H K Wonton Garden,chinese,79 Mulberry St,40.71642137299297,-73.99916149907413,759,3.5,10013
114,Qgv2vyUV-DwK8YwrhU-jtw,Lan Sheng Restaurant,chinese,128 W 36th St,40.7517141867087,-73.9883603449123,189,4.0,10018
115,QaolMEijS7L6eodSneOdng,Tri Dim West,chinese,467 Columbus Ave,40.78412,-73.97368,162,4.0,10024
116,kNOr6_g6QfBHdhf89j3g5w,Taiwan Pork Chop House,chinese,3 Doyers St,40.71424,-73.99799,533,4.0,10013
117,A0saPXtRGKl-SVJGQyQAOw,Brooklyn Chop House,chinese,150 Nassau St,40.7115099,-74.00597,759,4.0,10038
118,ovOupYdkZOWUeDMOdt--ng,China North Dumpling,chinese,27 Essex St,40.7158,-73.9898,337,4.0,10002
119,g_5V15Xp1OvB1QXuGMstYA,Chef Yu,chinese,520 8th Ave,40.75352133489135,-73.99226032843487,596,3.0,10018
120,R8V6kbUtyfPAwNNu46vMvg,Tonii’s Fresh Rice Noodle,chinese,83 Bayard St,40.715608,-73.998949,210,4.5,10013
121,91rrB0aH3caC70oCkxAynA,Deluxe Green Bo,chinese,66 Bayard St,40.715540215765,-73.9981645926656,711,3.5,10013
122,X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,chinese,228 Thompson St,40.72929,-73.99882,279,4.0,10012
123,vQe7_ZW_jBSWKtgSiXGIOA,Soup Dumpling Plus,chinese,1550 Lemoine Ave,40.84757,-73.9706099,1077,4.5,07024
124,C3tP0fNNAoxOAC3O406CXQ,Le Sia,chinese,651 9th Ave,40.76072,-73.99119,85,4.5,10036
125,Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,chinese,242 W 56th St,40.76572,-73.98286,98,4.0,10019
126,dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,chinese,108 W 14th St,40.7377213477598,-73.9974148512518,361,4.0,10011
127,SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,chinese,163 Bleecker St,40.728806,-73.999947,492,4.0,10012
128,zYoL-o9YJpGTwJ-Gmj8AFA,Jue Lan Club,chinese,49 W 20th St,40.7409694,-73.9934031,630,3.5,10011
129,Nt3Y26a6OMtdBe8xMMJjqQ,Mee Noodle Shop & Grill,chinese,930 2nd Ave,40.754463,-73.968518,308,3.5,10022
130,vgG8hgJbPLKfx-n9TYqCDw,Ling Kee Beef Jerky,chinese,42 Canal St,40.71466,-73.99148,182,4.5,10002
131,Sj2StOWkhHIPE6_sS5RMCQ,Evergreen On 38,chinese,10 E 38th St,40.75041,-73.98199,276,3.5,10016
132,SMrj71bWo1lomSbU8wXgyw,The Dolar Shop,chinese,55 3rd Ave,40.731032,-73.988569,126,4.5,10003
133,RoXFN-T1s6moM5smbY_5Gw,Mee Noodle Shop,chinese,795 9th Ave,40.7653751,-73.9879042,534,3.0,10019
134,qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,chinese,42 E Broadway,40.7137,-73.99598,362,4.0,10002
135,iKW9zBGWfE9CM6MfK0UtjA,Fong On,chinese,81 Division St,40.71417,-73.9937,196,4.5,10002
136,EN9_LsFpY44Hkzcnu0jfIg,Dynasty Dim Sum,chinese,381 3rd Ave,40.74148,-73.98087,191,4.0,10016
137,9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,chinese,58 Henry St,40.7127362,-73.9950764600962,195,4.5,10002
138,RoqLH-4rDugHlduthnZggg,Flame Hibachi,chinese,381 3rd Ave,40.74152,-73.98097,164,4.0,10016
139,gxvwxZWWSKNFMsVr10YAQg,Drunken Dumpling,chinese,137 1st Ave,40.727959,-73.985278,424,3.5,10003
140,bGOZTD9O00OkVA1Pkt3OuQ,A A Jing,chinese,689 9th Ave,40.762,-73.99041,292,3.5,10036
141,v2dtG37r1ThqtfEfiFsAUg,Shanghai Mong,chinese,30 W 32nd St,40.7476119995117,-73.9871597290039,584,3.0,10001
142,yj9vVa08ABH6BBOLHMfJag,Bund On Broadway,chinese,25-08 Broadway,40.7631578922095,-73.9282292,262,4.0,11106
143,62Kedrco374IuZ_OFb0BxA,3 Times,chinese,818 Broadway,40.73285,-73.99104,185,4.0,10003
144,Qwd4Tv-CqgO2Yl9zZgkKOQ,Shun Lee Palace,chinese,155 E 55th St,40.75945,-73.96907,309,3.0,10022
145,kXYTWVIPTnCukSo2jfxZ8A,East River Eatery,chinese,408 E 64th St,40.762351,-73.959067,46,4.5,10065
146,HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,chinese,37 W 43rd,40.755136,-73.982194,1678,4.0,10036
147,pb_cHcy8D8UC-jQ-Q524ug,Som Bo,chinese,143 8th Ave,40.74192,-74.00136,250,4.0,10011
148,m2_ZNFos5ugAwe8ft8eaEw,Eim Khao Mun Kai Elmhurst,chinese,81-32 Broadway,40.7429414097644,-73.8832733356575,493,4.0,11373
149,NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,chinese,3600 Broadway,40.828384,-73.948674,989,4.0,10031
150,mDajKjZjRN4tVGEJFOgF9w,Wok 88,chinese,1570 3rd Ave,40.78042,-73.95322,308,3.5,10128
151,lKxmH-hQ6ezKbq4URKrd-Q,May Wah Fast Food,chinese,190 Hester St,40.71825,-73.99842,380,4.0,10013
152,EZo6MdrZ_EH_MzUl93xkyA,Junzi Kitchen,chinese,170 Bleecker St,40.72878,-74.00061,183,4.0,10012
153,xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,chinese,239 W 105th St,40.80053,-73.967586,345,4.0,10025
154,w3wKbjuNCZnYoPOr-FCk5w,New Moon,chinese,547 2nd Ave,40.742569,-73.977856,187,4.0,10016
155,spJTHaNjEzKwoEiYWR1ggA,Ping's Seafood,chinese,22 Mott St,40.714442,-73.998636,713,3.5,10013
156,0WDHtP31HeVY0LP8INiFzQ,Rice Noodle Cart,chinese,153 Centre St,40.717931,-74.000283,158,4.5,10013
157,mIbmzqQ473BUF8cngXXs_Q,Joy Love Club,chinese,232 8th Ave,40.7444,-73.99891,68,4.5,10011
158,MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,chinese,177 Prince St,40.72645222833495,-74.0017973317552,400,4.0,10012
159,MMotl_bi3-5JRra91A2jLA,Satay Malaysian Cuisine,chinese,99 Washington St,40.73731,-74.03066,565,4.0,07030
160,s25mujxKWphsyFm0Ji1xYA,Mr Chow,chinese,324 E 57th St,40.7588502019644,-73.9643376320601,393,3.0,10022
161,nBm-zxAWg_oA8JNtHxPvcw,Di Di Dumpling,chinese,38 Lexington Ave,40.74017,-73.98452,208,4.0,10010
162,Jy7htqnnxlKB2vZO42_-aw,Ding Asian Szechuan Hot Pot Restaurant,chinese,234 W 48th St,40.76064,-73.98635,193,3.5,10036
163,nAcVK-Y1_ojsRF_04o-x-A,Yin Ji Chang Fen Rice Roll,chinese,91 Bayard St,40.71583,-73.999336,290,4.0,10013
164,nzqNfNXjtB6bxp-UN7xXkA,Bao Bao Cafe,chinese,214 W 39th Street Retail 101,40.75432,-73.989333,54,4.5,10018
165,lgHmMRBaU-48kGaNz3jYxg,Chairman Sun 国色天湘,chinese,47-30 Vernon Blvd,40.74465,-73.95375,214,3.5,11101
166,AfF4zVbVI27zwgkzOLYDFg,Xi'an Famous Foods,chinese,648 Manhattan Ave,40.7243301734731,-73.9509299397469,236,4.0,11222
167,6wJOojpF2c4lLeBNbTBB0A,Baoburg,chinese,614 Manhattan Ave,40.7234929271998,-73.9503321851175,278,4.0,11222
168,vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,chinese,20 Skillman Ave,40.71512,-73.95097,358,4.0,11211
169,bDsXyYwzk4I9_7l51D_gaA,Cafe Evergreen,chinese,1367 1st Ave,40.76891,-73.9556,194,3.5,10021
170,sQw7aEos_0FmO0UFtrJokg,Clay Pot - West Village,chinese,270 Bleeker St,40.73138,-74.00319,115,4.5,10014
171,lRSiXYB09Z5x1iINqQ7rHA,Dim Sum Go Go,chinese,5 E Broadway,40.7132415735622,-73.9977319419107,868,3.5,10038
172,84zvcPTAVCsSVtzCUtSDtA,Cha Chan Tang 茶餐廳,chinese,43 Mott St,40.715277800000024,-73.99889091165667,1087,3.0,10013
173,7hyQqnnAisSL-nfIWCPziQ,Chop Shop,chinese,254 10th Ave,40.7486687,-74.0031128,253,3.5,10001
174,wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,chinese,229 9th Ave,40.747413,-74.001052,467,3.5,10001
175,cn3JXMq29UfRkFCUD0Bhbw,Fried Dumpling,chinese,106 Mosco St,40.7145984,-73.9993465,558,3.5,10013
176,6OWMji5GiqRlRPZSb1lJ4A,Fay Da Bakery,chinese,321 W 6th Ave,40.73115,-74.00176,239,4.0,10012
177,14HOGDBDgb-LmXrDAxGz9Q,Mango Mango,chinese,47 43 Vernon Blvd,40.74421,-73.95328,45,4.5,11101
178,6YehBdKHcLDsvaewhcEjFQ,Hey Yuet,chinese,251 W 26th St,40.74703,-73.99645,45,5.0,10001
179,95bPhynOQ4bHoUqJJv6UEQ,Crop Circle,chinese,126 MacDougal St,40.73003,-74.00034,92,4.5,10012
180,xLJnT-pB4VECJzmUf1Whpg,3 Times,chinese,90 Clinton St,40.718271,-73.985209,168,4.5,10002
181,pPqEu60FMffpiWqk2MCrVA,Hutaoli Music Restaurant & Bar,chinese,42 W 33rd St,40.748413,-73.9871229,126,4.0,10001
182,XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,chinese,16 W 8th St,40.73264,-73.99752,232,4.0,10011
183,6NfeqE-5OBXfGBXhr4PJVg,The Dolar Shop,chinese,36-36 Prince St,40.761057,-73.83306,929,4.5,11354
184,sBCJYLPNJuagg-aJ3Y_ozQ,Cheli,chinese,19 St Marks Pl,40.72925,-73.9886,131,4.0,10003
185,WIj12zDqIbBucW1hXYhrew,King's Kitchen,chinese,92 E Broadway,40.71399,-73.99367,293,4.0,10002
